episode,game,exploration,explored,safe,MA_explored,MA_safe
243,['100+49sin((2pi/6)t)+0e'],8.6,80.0,96.1,74.1,95.0
244,['100+49sin((2pi/21)t)+0e'],8.5,83.3,96.6,74.2,95.0
245,['100+49sin((2pi/13)t)+0e'],8.4,76.8,96.4,74.7,95.0
246,['100+49sin((2pi/15)t)+0e'],8.4,81.8,91.9,75.7,95.0
247,['100+49sin((2pi/24)t)+0e'],8.3,75.3,96.6,75.3,95.0
248,['100+49sin((2pi/1)t)+0e'],8.2,90.8,0.0,75.3,95.0
249,['100+49sin((2pi/35)t)+0e'],8.1,78.9,95.0,75.7,95.0
250,['100+49sin((2pi/10)t)+0e'],8.0,88.6,96.2,76.1,95.0
251,['100+49sin((2pi/12)t)+0e'],7.9,76.6,96.4,76.3,95.0
252,['100+49sin((2pi/31)t)+0e'],7.9,-4.9,88.5,76.3,95.0
253,['100+49sin((2pi/24)t)+0e'],7.8,88.9,96.6,76.6,95.0
254,['100+49sin((2pi/7)t)+0e'],7.7,-13041.9,86.6,76.6,95.0
255,['100+49sin((2pi/15)t)+0e'],7.6,86.2,96.4,76.7,95.0
256,['100+49sin((2pi/3)t)+0e'],7.6,75.6,96.1,76.7,95.0
257,['100+49sin((2pi/19)t)+0e'],7.5,81.7,96.3,76.7,95.0
258,['100+49sin((2pi/4)t)+0e'],7.4,79.8,-6.7,76.8,95.0
259,['100+49sin((2pi/11)t)+0e'],7.3,88.7,96.6,77.1,95.0
260,['100+49sin((2pi/22)t)+0e'],7.3,86.6,96.5,77.4,95.0
261,['100+49sin((2pi/26)t)+0e'],7.2,86.9,96.1,77.7,95.1
262,['100+49sin((2pi/1)t)+0e'],7.1,-296.7,0.0,77.4,95.0
263,['100+49sin((2pi/34)t)+0e'],7.0,83.8,92.1,77.7,95.0
264,['100+49sin((2pi/32)t)+0e'],7.0,88.4,94.5,78.0,95.0
265,['100+49sin((2pi/9)t)+0e'],6.9,76.4,96.4,78.0,95.1
266,['100+49sin((2pi/2)t)+0e'],6.8,81.6,0.0,78.0,95.0
267,['100+49sin((2pi/18)t)+0e'],6.8,87.7,95.8,78.0,95.1
268,['100+49sin((2pi/16)t)+0e'],6.7,83.9,92.8,78.3,95.0
269,['100+49sin((2pi/37)t)+0e'],6.6,91.0,93.4,78.7,95.0
270,['100+49sin((2pi/29)t)+0e'],6.6,93.6,95.5,79.3,95.0
271,['100+49sin((2pi/18)t)+0e'],6.5,86.1,95.8,79.9,95.1
272,['100+49sin((2pi/39)t)+0e'],6.4,85.2,88.2,79.9,95.1
